id,license,address,city,county,state,latitude,longitude
1257,AT&T,STATE HIGHWAY 507  (78793),GOULDSBORO,WAYNE,PA,41.26702778,-75.38822222
1258,AT&T,280 Welcome Lake Road  (104270),Hawley,PIKE,PA,41.51538889,-75.08425
1259,AT&T,RR#5 Minks Pond Road  Box 5295 (101726),Bushkill,PIKE,PA,41.17316667,-74.95855556
1260,AT&T,St Julians Rt 1 Box 117 (2675),Pleasant Mount,WAYNE,PA,41.78275,-75.34311111
1261,AT&T,RR4  Box 4000  Municipal Road (101729),BUSHKILL,PIKE,PA,41.13147222,-74.97919444
1262,AT&T,1525 CHESTNUT HILL ROAD   (71791),MORGANTOWN,BERKS,PA,40.19336111,-75.92144444
1263,Verizon,257 BRIDAL ROAD,SOMERSET,SOMERSET,PA,40.06888889,-79.23422222
1264,Verizon,6/10 of a mile east of Cresson,CRESSON TWP.,CAMBRIA,PA,40.45291667,-78.56183333
1265,Verizon,102 Benedict Tower Rd,Johnstown,CAMBRIA,PA,40.43972222,-78.90008333
1266,Verizon,6161 GLADES PIKE,SOMERSET,SOMERSET,PA,39.99408333,-79.02536111
1267,Verizon,118 SULLIVAN ROAD,JEFFERSON TWP.,SOMERSET,PA,40.10072222,-79.22469444
1268,Verizon,915 Deeter Gap Road,Berlin,SOMERSET,PA,39.95719444,-78.83438889
1269,Verizon,205 Sunset Road,Carrolltown,CAMBRIA,PA,40.614,-78.70469444
1270,Verizon,.2 MILES N OF STATE RTE 31  .4 MILES S OF THE PENNSYLVANIA TURNPIKE,BROTHERTON,SOMERSET,PA,39.98261111,-78.97905556
1271,Verizon,Black Bear Hill 3493 Port Matilda Hwy,Phillipsburg,CENTRE,PA,40.86036111,-78.16316667
1272,Verizon,702 New Germany Road,EBENSBURG,CAMBRIA,PA,40.44183333,-78.75522222
1273,Verizon,Weaver Road & Hickory,Bakersville,SOMERSET,PA,40.11494444,-79.20269444
1274,Verizon,7935 WHITE CHURCH ROAD,Shippensburg,FRANKLIN,PA,40.01825,-77.52477778
1275,Verizon,164 Jumonville Road,NORTH UNION TOWNSHIP,FAYETTE,PA,39.85497222,-79.65663889
1276,Verizon,1.56 MILES SE OF INTERSECTION OF SR,REEDSVILLE,MIFFLIN,PA,40.66077778,-77.57561111
